,day,month,year,film,released,rating,review_link,film_link,numeric_rating,name,director,rating_value,released_event,url,image
47,03,May,2024,Challengers,2024,×,,/marvelfan69/film/challengers/,0,Challengers,"[{'@type': 'Person', 'name': 'Luca Guadagnino', 'sameAs': '/director/luca-guadagnino/'}]",3.99,"[{'@type': 'PublicationEvent', 'startDate': '2024'}]",https://letterboxd.com/film/challengers/,https://a.ltrbxd.com/resized/film-poster/8/4/2/3/0/1/842301-challengers-0-230-0-345-crop.jpg?v=a7cd63cbef
48,02,May,2024,Civil War,2024,×,,/marvelfan69/film/civil-war-2024/,0,Civil War,"[{'@type': 'Person', 'name': 'Alex Garland', 'sameAs': '/director/alex-garland/'}]",3.6,"[{'@type': 'PublicationEvent', 'startDate': '2024'}]",https://letterboxd.com/film/civil-war-2024/,https://a.ltrbxd.com/resized/film-poster/8/3/4/6/5/6/834656-civil-war-0-230-0-345-crop.jpg?v=aefec33dbe
49,01,May,2024,Design for Living,1933,×,,/marvelfan69/film/design-for-living/,0,Design for Living,"[{'@type': 'Person', 'name': 'Ernst Lubitsch', 'sameAs': '/director/ernst-lubitsch/'}]",3.9,"[{'@type': 'PublicationEvent', 'startDate': '1933'}]",https://letterboxd.com/film/design-for-living/,https://a.ltrbxd.com/resized/film-poster/6/3/7/0/9/63709-design-for-living-0-230-0-345-crop.jpg?v=7d92aa4a69
50,29,Apr,2024,Butterflies Are Free,1972,×,,/marvelfan69/film/butterflies-are-free/,0,Butterflies Are Free,"[{'@type': 'Person', 'name': 'Milton Katselas', 'sameAs': '/director/milton-katselas/'}]",3.52,"[{'@type': 'PublicationEvent', 'startDate': '1972'}]",https://letterboxd.com/film/butterflies-are-free/,https://a.ltrbxd.com/resized/film-poster/1/1/0/0/6/11006-butterflies-are-free-0-230-0-345-crop.jpg?v=d137c64e22
51,27,Apr,2024,The Adults,2023,×,,/marvelfan69/film/the-adults/,0,The Adults,"[{'@type': 'Person', 'name': 'Dustin Guy Defa', 'sameAs': '/director/dustin-guy-defa/'}]",3.21,"[{'@type': 'PublicationEvent', 'startDate': '2023'}]",https://letterboxd.com/film/the-adults/,https://a.ltrbxd.com/resized/film-poster/9/7/1/3/8/8/971388-the-adults-0-230-0-345-crop.jpg?v=33dedb27f4
52,16,Apr,2024,Once,2007,×,,/marvelfan69/film/once/,0,Once,"[{'@type': 'Person', 'name': 'John Carney', 'sameAs': '/director/john-carney/'}]",3.88,"[{'@type': 'PublicationEvent', 'startDate': '2007'}]",https://letterboxd.com/film/once/,https://a.ltrbxd.com/resized/film-poster/4/8/6/9/9/48699-once-0-230-0-345-crop.jpg?v=987e7cc2cb
53,03,Apr,2024,Paterson,2016,×,,/marvelfan69/film/paterson/,0,Paterson,"[{'@type': 'Person', 'name': 'Jim Jarmusch', 'sameAs': '/director/jim-jarmusch/'}]",3.89,"[{'@type': 'PublicationEvent', 'startDate': '2016'}]",https://letterboxd.com/film/paterson/,https://a.ltrbxd.com/resized/sm/upload/ki/j6/o2/2a/steNZE5bgKiHb3AeLQNIl1j8YAS-0-230-0-345-crop.jpg?v=5a46866305
54,02,Apr,2024,To Die For,1995,×,,/marvelfan69/film/to-die-for/,0,To Die For,"[{'@type': 'Person', 'name': 'Gus Van Sant', 'sameAs': '/director/gus-van-sant/'}]",3.64,"[{'@type': 'PublicationEvent', 'startDate': '1995'}]",https://letterboxd.com/film/to-die-for/,https://a.ltrbxd.com/resized/sm/upload/6u/j0/hc/6e/zCREx8trzejNieDLUsRuwLU0cS3-0-230-0-345-crop.jpg?v=c8c48f0d2b
55,31,Mar,2024,Perfect Days,2023,×,,/marvelfan69/film/perfect-days-2023/,0,Perfect Days,"[{'@type': 'Person', 'name': 'Wim Wenders', 'sameAs': '/director/wim-wenders/'}]",4.27,"[{'@type': 'PublicationEvent', 'startDate': '2023'}]",https://letterboxd.com/film/perfect-days-2023/,https://a.ltrbxd.com/resized/film-poster/8/7/9/2/2/9/879229-perfect-days-0-230-0-345-crop.jpg?v=4ea80661fd
56,27,Mar,2024,Maborosi,1995,×,,/marvelfan69/film/maborosi/,0,Maborosi,"[{'@type': 'Person', 'name': 'Hirokazu Kore-eda', 'sameAs': '/director/hirokazu-kore-eda/'}]",4.09,"[{'@type': 'PublicationEvent', 'startDate': '1995'}]",https://letterboxd.com/film/maborosi/,https://a.ltrbxd.com/resized/film-poster/4/0/0/3/9/40039-maborosi-0-230-0-345-crop.jpg?v=ca31fb33a8
